name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_1306_length_4568_cov_11.070148_g821_i0.p1,ABCA,1361,2,Present,Present,Present,__ABCA__NODE_1306_length_4568_cov_11.070148_g821_i0.p1,__ABCA__NODE_1306_length_4568_cov_11.070148_g821_i0.p1
__ABCA__NODE_5080_length_2548_cov_5.974390_g3206_i0.p1,ABCA,558,1,Present,Present,Present,__ABCA__NODE_5080_length_2548_cov_5.974390_g3206_i0.p1,__ABCA__NODE_5080_length_2548_cov_5.974390_g3206_i0.p1
__ABCBF__NODE_11713_length_1515_cov_6.899045_g7629_i0.p1,ABCBF,504,2,Present,Present,Present,__ABCBF__NODE_11713_length_1515_cov_6.899045_g7629_i0.p1,__ABCBF__NODE_11713_length_1515_cov_6.899045_g7629_i0.p1
__ABCBF__NODE_25641_length_750_cov_6.174037_g18316_i0.p1,ABCBF,250,2,Present,Absent,Present,__ABCBF__NODE_25641_length_750_cov_6.174037_g18316_i0.p1,__ABCBF__NODE_25641_length_750_cov_6.174037_g18316_i0.p1
__ABCC__NODE_14094_length_1310_cov_4.360032_g9257_i0.p1,ABCC,284,1,Present,Present,Absent,__ABCC__NODE_14094_length_1310_cov_4.360032_g9257_i0.p1,__ABCC__NODE_14094_length_1310_cov_4.360032_g9257_i0.p1
__ABCC__NODE_3656_length_2998_cov_12.300102_g2294_i0.p1,ABCC,446,1,Present,Present,Absent,__ABCC__NODE_3656_length_2998_cov_12.300102_g2294_i0.p1,__ABCC__NODE_3656_length_2998_cov_12.300102_g2294_i0.p1
__ABCE__NODE_4431_length_2743_cov_79.917595_g2773_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4431_length_2743_cov_79.917595_g2773_i0.p1,__ABCE__NODE_4431_length_2743_cov_79.917595_g2773_i0.p1
__ABCF__NODE_2007_length_3893_cov_343.237513_g1268_i0.p1,ABCF,625,2,Present,Present,Present,__ABCF__NODE_2007_length_3893_cov_343.237513_g1268_i0.p1,__ABCF__NODE_2007_length_3893_cov_343.237513_g1268_i0.p1
__ABCF__NODE_3017_length_3274_cov_34.774574_g1877_i0.p1,ABCF,880,2,Present,Present,Present,__ABCF__NODE_3017_length_3274_cov_34.774574_g1877_i0.p1,__ABCF__NODE_3017_length_3274_cov_34.774574_g1877_i0.p1
__ABCF__NODE_6254_length_2290_cov_21.369924_g3959_i0.p1,ABCF,708,2,Present,Present,Present,__ABCF__NODE_6254_length_2290_cov_21.369924_g3959_i0.p1,__ABCF__NODE_6254_length_2290_cov_21.369924_g3959_i0.p1
__ABCG__NODE_20460_length_940_cov_8.710438_g14072_i0.p1,ABCG,313,1,Present,Present,Present,__ABCG__NODE_20460_length_940_cov_8.710438_g14072_i0.p1,__ABCG__NODE_20460_length_940_cov_8.710438_g14072_i0.p1
__ABCG__NODE_7469_length_2059_cov_9.879602_g4756_i0.p1,ABCG,637,1,Present,Present,Absent,__ABCG__NODE_7469_length_2059_cov_9.879602_g4756_i0.p1,__ABCG__NODE_7469_length_2059_cov_9.879602_g4756_i0.p1
