name,fam,len,domains,WalkerB,WalkerA,ABC_sig,abbreviation,code
__ABCA__NODE_16717_length_969_cov_3.151087_g13177_i0.p1,ABCA,322,1,Present,Present,Present,__ABCA__NODE_16717_length_969_cov_3.151087_g13177_i0.p1,__ABCA__NODE_16717_length_969_cov_3.151087_g13177_i0.p1
__ABCBH__NODE_2523_length_3938_cov_73.135510_g1828_i0.p1,ABCBH,335,1,Present,Present,Present,__ABCBH__NODE_2523_length_3938_cov_73.135510_g1828_i0.p1,__ABCBH__NODE_2523_length_3938_cov_73.135510_g1828_i0.p1
__ABCBH__NODE_8677_length_1867_cov_3.223872_g6490_i0.p1,ABCBH,430,1,Present,Present,Present,__ABCBH__NODE_8677_length_1867_cov_3.223872_g6490_i0.p1,__ABCBH__NODE_8677_length_1867_cov_3.223872_g6490_i0.p1
__ABCC__NODE_3977_length_3144_cov_5.961551_g2886_i0.p1,ABCC,1008,2,Present,Present,Present,__ABCC__NODE_3977_length_3144_cov_5.961551_g2886_i0.p1,__ABCC__NODE_3977_length_3144_cov_5.961551_g2886_i0.p1
__ABCC__NODE_8436_length_1912_cov_3.958132_g6303_i0.p1,ABCC,312,1,Present,Present,Present,__ABCC__NODE_8436_length_1912_cov_3.958132_g6303_i0.p1,__ABCC__NODE_8436_length_1912_cov_3.958132_g6303_i0.p1
__ABCE__NODE_4975_length_2766_cov_45.944056_g3640_i0.p1,ABCE,629,2,Present,Present,Present,__ABCE__NODE_4975_length_2766_cov_45.944056_g3640_i0.p1,__ABCE__NODE_4975_length_2766_cov_45.944056_g3640_i0.p1
__ABCF__NODE_262_length_7759_cov_145.481582_g161_i0.p2,ABCF,629,2,Present,Present,Present,__ABCF__NODE_262_length_7759_cov_145.481582_g161_i0.p2,__ABCF__NODE_262_length_7759_cov_145.481582_g161_i0.p2
__ABCF__NODE_3699_length_3281_cov_17.449567_g2684_i0.p1,ABCF,932,3,Present,Present,Present,__ABCF__NODE_3699_length_3281_cov_17.449567_g2684_i0.p1,__ABCF__NODE_3699_length_3281_cov_17.449567_g2684_i0.p1
__ABCF__NODE_6442_length_2331_cov_14.375110_g4732_i0.p1,ABCF,693,2,Present,Present,Present,__ABCF__NODE_6442_length_2331_cov_14.375110_g4732_i0.p1,__ABCF__NODE_6442_length_2331_cov_14.375110_g4732_i0.p1
__ABCG__NODE_5939_length_2457_cov_7.567691_g4343_i0.p1,ABCG,645,1,Present,Present,Absent,__ABCG__NODE_5939_length_2457_cov_7.567691_g4343_i0.p1,__ABCG__NODE_5939_length_2457_cov_7.567691_g4343_i0.p1
__ABCG__NODE_6443_length_2331_cov_3.112182_g4733_i0.p1,ABCG,599,1,Present,Present,Present,__ABCG__NODE_6443_length_2331_cov_3.112182_g4733_i0.p1,__ABCG__NODE_6443_length_2331_cov_3.112182_g4733_i0.p1
__ABCG__NODE_6951_length_2215_cov_5.483841_g5131_i0.p1,ABCG,669,1,Present,Present,Present,__ABCG__NODE_6951_length_2215_cov_5.483841_g5131_i0.p1,__ABCG__NODE_6951_length_2215_cov_5.483841_g5131_i0.p1
__ABCH__NODE_3237_length_3512_cov_3.796997_g2346_i0.p1,ABCH,632,1,Present,Present,Present,__ABCH__NODE_3237_length_3512_cov_3.796997_g2346_i0.p1,__ABCH__NODE_3237_length_3512_cov_3.796997_g2346_i0.p1
